Concurso,Faixa,Ganhadores,Prêmio
2890,15 Acertos,2,"R$ 2.545.664,43"
2890,14 Acertos,317,"R$ 1.577,52"
2890,13 Acertos,12323,"R$ 30,00"
2890,12 Acertos,149393,"R$ 12,00"
2890,11 Acertos,794781,"R$ 6,00"
2882,15 Acertos,0,"R$ 0,00"
2882,14 Acertos,154,"R$ 2.634,69"
2882,13 Acertos,6873,"R$ 30,00"
2882,12 Acertos,95911,"R$ 12,00"
2882,11 Acertos,532524,"R$ 6,00"
2889,15 Acertos,5,"R$ 251.580,64"
2889,14 Acertos,698,"R$ 539,81"
2889,13 Acertos,16801,"R$ 30,00"
2889,12 Acertos,122768,"R$ 12,00"
2889,11 Acertos,536178,"R$ 6,00"
2883,15 Acertos,4,"R$ 992.394,62"
2883,14 Acertos,576,"R$ 1.058,00"
2883,13 Acertos,17595,"R$ 30,00"
2883,12 Acertos,228657,"R$ 12,00"
2883,11 Acertos,1099018,"R$ 6,00"
2887,15 Acertos,6,"R$ 220.456,47"
2887,14 Acertos,394,"R$ 1.005,61"
2887,13 Acertos,12073,"R$ 30,00"
2887,12 Acertos,130470,"R$ 12,00"
2887,11 Acertos,651083,"R$ 6,00"
2881,15 Acertos,3,"R$ 502.307,29"
2881,14 Acertos,409,"R$ 1.103,62"
2881,13 Acertos,13988,"R$ 30,00"
2881,12 Acertos,128895,"R$ 12,00"
2881,11 Acertos,643365,"R$ 6,00"
2880,15 Acertos,3,"R$ 1.617.529,04"
2880,14 Acertos,404,"R$ 1.578,52"
2880,13 Acertos,14705,"R$ 30,00"
2880,12 Acertos,194882,"R$ 12,00"
2880,11 Acertos,1032878,"R$ 6,00"
2879,15 Acertos,1,"R$ 1.728.082,07"
2879,14 Acertos,199,"R$ 1.820,80"
2879,13 Acertos,8092,"R$ 30,00"
2879,12 Acertos,99566,"R$ 12,00"
2879,11 Acertos,560415,"R$ 6,00"
2877,15 Acertos,9,"R$ 111.830,73"
2877,14 Acertos,915,"R$ 329,48"
2877,13 Acertos,16508,"R$ 30,00"
2877,12 Acertos,146320,"R$ 12,00"
2877,11 Acertos,660485,"R$ 6,00"
2878,15 Acertos,3,"R$ 488.505,68"
2878,14 Acertos,206,"R$ 1.491,68"
2878,13 Acertos,8413,"R$ 30,00"
2878,12 Acertos,108582,"R$ 12,00"
2878,11 Acertos,562254,"R$ 6,00"
2876,15 Acertos,4,"R$ 955.767,57"
2876,14 Acertos,394,"R$ 1.629,81"
2876,13 Acertos,12970,"R$ 30,00"
2876,12 Acertos,162978,"R$ 12,00"
2876,11 Acertos,845526,"R$ 6,00"
2875,15 Acertos,0,"R$ 0,00"
2875,14 Acertos,145,"R$ 2.428,33"
2875,13 Acertos,6408,"R$ 30,00"
2875,12 Acertos,105508,"R$ 12,00"
2875,11 Acertos,538831,"R$ 6,00"
2874,15 Acertos,2,"R$ 641.059,65"
2874,14 Acertos,225,"R$ 1.706,86"
2874,13 Acertos,8469,"R$ 30,00"
2874,12 Acertos,100031,"R$ 12,00"
2874,11 Acertos,540462,"R$ 6,00"
2873,15 Acertos,2,"R$ 857.039,64"
2873,14 Acertos,160,"R$ 2.246,28"
2873,13 Acertos,6502,"R$ 30,00"
2873,12 Acertos,85962,"R$ 12,00"
2873,11 Acertos,498445,"R$ 6,00"
2872,15 Acertos,3,"R$ 1.245.909,79"
2872,14 Acertos,454,"R$ 1.416,67"
2872,13 Acertos,14352,"R$ 30,00"
2872,12 Acertos,159504,"R$ 12,00"
2872,11 Acertos,829129,"R$ 6,00"
2871,15 Acertos,0,"R$ 0,00"
2871,14 Acertos,242,"R$ 1.968,69"
2871,13 Acertos,7241,"R$ 30,00"
2871,12 Acertos,95598,"R$ 12,00"
2871,11 Acertos,555129,"R$ 6,00"
2870,15 Acertos,1,"R$ 5.233.661,78"
2870,14 Acertos,530,"R$ 1.257,03"
2870,13 Acertos,16740,"R$ 30,00"
2870,12 Acertos,178179,"R$ 12,00"
2870,11 Acertos,878740,"R$ 6,00"
2869,15 Acertos,2,"R$ 768.109,48"
2869,14 Acertos,228,"R$ 2.018,23"
2869,13 Acertos,10194,"R$ 30,00"
2869,12 Acertos,107474,"R$ 12,00"
2869,11 Acertos,587262,"R$ 6,00"
2868,15 Acertos,2,"R$ 794.282,89"
2868,14 Acertos,165,"R$ 2.018,71"
2868,13 Acertos,8272,"R$ 30,00"
2868,12 Acertos,82396,"R$ 12,00"
2868,11 Acertos,502728,"R$ 6,00"
2867,15 Acertos,2,"R$ 1.634.592,05"
2867,14 Acertos,399,"R$ 1.305,27"
2867,13 Acertos,16798,"R$ 30,00"
2867,12 Acertos,194834,"R$ 12,00"
2867,11 Acertos,983259,"R$ 6,00"
2865,15 Acertos,1,"R$ 1.617.941,37"
2865,14 Acertos,216,"R$ 1.570,58"
2865,13 Acertos,7706,"R$ 30,00"
2865,12 Acertos,110170,"R$ 12,00"
2865,11 Acertos,594615,"R$ 6,00"
2866,15 Acertos,0,"R$ 0,00"
2866,14 Acertos,235,"R$ 1.950,81"
2866,13 Acertos,7790,"R$ 30,00"
2866,12 Acertos,96172,"R$ 12,00"
2866,11 Acertos,514231,"R$ 6,00"
2884,15 Acertos,2,"R$ 774.296,49"
2884,14 Acertos,277,"R$ 1.674,60"
2884,13 Acertos,9148,"R$ 30,00"
2884,12 Acertos,109859,"R$ 12,00"
2884,11 Acertos,567992,"R$ 6,00"
2864,15 Acertos,2,"R$ 2.204.748,52"
2864,14 Acertos,334,"R$ 1.622,02"
2864,13 Acertos,13584,"R$ 30,00"
2864,12 Acertos,140657,"R$ 12,00"
2864,11 Acertos,807117,"R$ 6,00"
2863,15 Acertos,0,"R$ 0,00"
2863,14 Acertos,270,"R$ 2.025,50"
2863,13 Acertos,8221,"R$ 30,00"
2863,12 Acertos,102199,"R$ 12,00"
2863,11 Acertos,591516,"R$ 6,00"
2862,15 Acertos,2,"R$ 2.006.583,33"
2862,14 Acertos,522,"R$ 1.332,80"
2862,13 Acertos,16681,"R$ 30,00"
2862,12 Acertos,193489,"R$ 12,00"
2862,11 Acertos,895634,"R$ 6,00"
2861,15 Acertos,0,"R$ 0,00"
2861,14 Acertos,294,"R$ 1.722,36"
2861,13 Acertos,9271,"R$ 30,00"
2861,12 Acertos,108879,"R$ 12,00"
2861,11 Acertos,620376,"R$ 6,00"
2860,15 Acertos,4,"R$ 1.586.609,04"
2860,14 Acertos,360,"R$ 1.835,61"
2860,13 Acertos,16014,"R$ 30,00"
2860,12 Acertos,175773,"R$ 12,00"
2860,11 Acertos,1033908,"R$ 6,00"
2859,15 Acertos,2,"R$ 876.664,72"
2859,14 Acertos,360,"R$ 1.458,86"
2859,13 Acertos,9959,"R$ 30,00"
2859,12 Acertos,117694,"R$ 12,00"
2859,11 Acertos,630124,"R$ 6,00"
2858,15 Acertos,4,"R$ 1.159.430,39"
2858,14 Acertos,591,"R$ 1.282,28"
2858,13 Acertos,18141,"R$ 30,00"
2858,12 Acertos,201396,"R$ 12,00"
2858,11 Acertos,992649,"R$ 6,00"
2857,15 Acertos,0,"R$ 0,00"
2857,14 Acertos,282,"R$ 1.567,19"
2857,13 Acertos,10020,"R$ 30,00"
2857,12 Acertos,122796,"R$ 12,00"
2857,11 Acertos,640636,"R$ 6,00"
2856,15 Acertos,5,"R$ 930.757,57"
2856,14 Acertos,647,"R$ 1.120,81"
2856,13 Acertos,19816,"R$ 30,00"
2856,12 Acertos,240764,"R$ 12,00"
2856,11 Acertos,1221017,"R$ 6,00"
2855,15 Acertos,0,"R$ 0,00"
2855,14 Acertos,173,"R$ 2.706,23"
2855,13 Acertos,6025,"R$ 30,00"
2855,12 Acertos,88936,"R$ 12,00"
2855,11 Acertos,568025,"R$ 6,00"
2854,15 Acertos,3,"R$ 360.591,99"
2854,14 Acertos,886,"R$ 365,72"
2854,13 Acertos,17225,"R$ 30,00"
2854,12 Acertos,155032,"R$ 12,00"
2854,11 Acertos,690497,"R$ 6,00"
2853,15 Acertos,2,"R$ 823.095,45"
2853,14 Acertos,316,"R$ 1.560,43"
2853,13 Acertos,14372,"R$ 30,00"
2853,12 Acertos,113923,"R$ 12,00"
2853,11 Acertos,625680,"R$ 6,00"
2852,15 Acertos,3,"R$ 488.133,87"
2852,14 Acertos,449,"R$ 976,93"
2852,13 Acertos,11789,"R$ 30,00"
2852,12 Acertos,124687,"R$ 12,00"
2852,11 Acertos,606639,"R$ 6,00"
2851,15 Acertos,2,"R$ 709.627,50"
2851,14 Acertos,439,"R$ 968,38"
2851,13 Acertos,13038,"R$ 30,00"
2851,12 Acertos,132749,"R$ 12,00"
2851,11 Acertos,636722,"R$ 6,00"
2850,15 Acertos,3,"R$ 1.864.912,86"
2850,14 Acertos,310,"R$ 1.944,67"
2850,13 Acertos,11762,"R$ 30,00"
2850,12 Acertos,152077,"R$ 12,00"
2850,11 Acertos,806054,"R$ 6,00"
2849,15 Acertos,3,"R$ 547.632,94"
2849,14 Acertos,296,"R$ 1.662,54"
2849,13 Acertos,9485,"R$ 30,00"
2849,12 Acertos,95775,"R$ 12,00"
2849,11 Acertos,520002,"R$ 6,00"
2848,15 Acertos,1,"R$ 1.511.269,76"
2848,14 Acertos,354,"R$ 1.278,76"
2848,13 Acertos,8865,"R$ 30,00"
2848,12 Acertos,98901,"R$ 12,00"
2848,11 Acertos,500112,"R$ 6,00"
2847,15 Acertos,3,"R$ 458.837,40"
2847,14 Acertos,331,"R$ 1.245,67"
2847,13 Acertos,10525,"R$ 30,00"
2847,12 Acertos,113897,"R$ 12,00"
2847,11 Acertos,586473,"R$ 6,00"
2846,15 Acertos,1,"R$ 1.355.818,62"
2846,14 Acertos,252,"R$ 1.611,59"
2846,13 Acertos,8627,"R$ 30,00"
2846,12 Acertos,90232,"R$ 12,00"
2846,11 Acertos,481561,"R$ 6,00"
2845,15 Acertos,1,"R$ 3.718.158,29"
2845,14 Acertos,439,"R$ 1.448,23"
2845,13 Acertos,14352,"R$ 30,00"
2845,12 Acertos,170991,"R$ 12,00"
2845,11 Acertos,883986,"R$ 6,00"
2844,15 Acertos,0,"R$ 0,00"
2844,14 Acertos,170,"R$ 1.968,08"
2844,13 Acertos,6355,"R$ 30,00"
2844,12 Acertos,85602,"R$ 12,00"
2844,11 Acertos,529115,"R$ 6,00"
2843,15 Acertos,3,"R$ 442.147,13"
2843,14 Acertos,576,"R$ 689,79"
2843,13 Acertos,12563,"R$ 30,00"
2843,12 Acertos,132693,"R$ 12,00"
2843,11 Acertos,637471,"R$ 6,00"
2842,15 Acertos,1,"R$ 1.439.215,55"
2842,14 Acertos,232,"R$ 1.858,19"
2842,13 Acertos,8809,"R$ 30,00"
2842,12 Acertos,111323,"R$ 12,00"
2842,11 Acertos,595716,"R$ 6,00"
2841,15 Acertos,2,"R$ 808.127,88"
2841,14 Acertos,246,"R$ 1.968,01"
2841,13 Acertos,8255,"R$ 30,00"
2841,12 Acertos,112152,"R$ 12,00"
2841,11 Acertos,620843,"R$ 6,00"
2840,15 Acertos,4,"R$ 1.342.329,24"
2840,14 Acertos,619,"R$ 1.059,79"
2840,13 Acertos,17473,"R$ 30,00"
2840,12 Acertos,190409,"R$ 12,00"
2840,11 Acertos,937839,"R$ 6,00"
2839,15 Acertos,3,"R$ 592.289,42"
2839,14 Acertos,213,"R$ 1.749,15"
2839,13 Acertos,8816,"R$ 30,00"
2839,12 Acertos,111833,"R$ 12,00"
2839,11 Acertos,616752,"R$ 6,00"
2838,15 Acertos,2,"R$ 1.873.684,47"
2838,14 Acertos,390,"R$ 1.666,27"
2838,13 Acertos,14101,"R$ 30,00"
2838,12 Acertos,196239,"R$ 12,00"
2838,11 Acertos,970670,"R$ 6,00"
2837,15 Acertos,0,"R$ 0,00"
2837,14 Acertos,237,"R$ 1.994,23"
2837,13 Acertos,8814,"R$ 30,00"
2837,12 Acertos,118245,"R$ 12,00"
2837,11 Acertos,622213,"R$ 6,00"
2836,15 Acertos,4,"R$ 1.161.035,52"
2836,14 Acertos,450,"R$ 1.710,94"
2836,13 Acertos,14943,"R$ 30,00"
2836,12 Acertos,177471,"R$ 12,00"
2836,11 Acertos,927545,"R$ 6,00"
2835,15 Acertos,0,"R$ 0,00"
2835,14 Acertos,180,"R$ 2.415,68"
2835,13 Acertos,6550,"R$ 30,00"
2835,12 Acertos,96154,"R$ 12,00"
2835,11 Acertos,592419,"R$ 6,00"
2834,15 Acertos,1,"R$ 1.651.821,46"
2834,14 Acertos,215,"R$ 1.610,93"
2834,13 Acertos,8838,"R$ 30,00"
2834,12 Acertos,116399,"R$ 12,00"
2834,11 Acertos,611391,"R$ 6,00"
2833,15 Acertos,1,"R$ 1.968.965,73"
2833,14 Acertos,179,"R$ 2.306,41"
2833,13 Acertos,10482,"R$ 30,00"
2833,12 Acertos,125152,"R$ 12,00"
2833,11 Acertos,704672,"R$ 6,00"
2831,15 Acertos,1,"R$ 1.473.093,17"
2831,14 Acertos,399,"R$ 1.105,88"
2831,13 Acertos,12651,"R$ 30,00"
2831,12 Acertos,141108,"R$ 12,00"
